Liga,TIME 1,TIME 2,ODD do TIme 1,ODD do Time 2
Dota Pro Circuit: NA Upper Division ,Shopify Rebellion,nouns,1.15,5.03
Liga Latinoamerica ,Six Karma,The Kings,1.20,4.07
Champions Korea ,T1,Kwangdong Freecs,1.06,9.76
Dota Pro Circuit: NA Upper Division ,TSM,B8,1.01,18.77
Champions Korea ,Gen.G,BRION,1.21,4.46
