Liga,TIME 1,TIME 2,ODD do Time 1,ODD do Time 2
Liga Latinoamerica ,Six Karma,The Kings,1.20,4.07
Dota Pro Circuit: NA Upper Division ,TSM,B8,1.01,18.77
